,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,
Subject: Geographic Distribution,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,
Table Title: Employed Residents Aged 15 Years and Over by Planning Area of Residence and Gross Monthly Income from Work (Census of Population 2020),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Number,
Planning Area of Residence,Total,"Below $1,000","$1,000 - $1,999","$2,000 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - 10,999","$11,000 - 11,999","$12,000 - $14,999","$15,000 & Over",
Total,2208358,148859,288615,262234,265564,222399,191127,141671,115069,99041,77911,69597,53593,100120,172559,
  Ang Mo Kio,86497,6306,14367,10414,10210,8320,7022,5489,4291,3392,2598,2637,1905,3237,6309,
  Bedok,145214,10917,19697,17730,16491,12361,11162,7552,5855,5985,4842,4301,4067,7528,16726,
  Bishan,47460,2910,4713,3635,4386,4276,3930,3308,2651,2692,1890,1835,1525,3253,6458,
  Bukit Batok,90479,5589,12060,11316,11626,9087,7371,5860,5152,4041,3221,2636,2145,4288,6088,
  Bukit Merah,78703,5897,11943,8123,7825,6249,6411,4718,4132,3552,2802,2806,2318,4404,7522,
  Bukit Panjang,77492,5526,10420,9520,10562,8405,7140,4572,4177,3446,2398,2085,1905,2994,4340,
  Bukit Timah,37002,1779,1979,1660,2073,2116,2467,1695,1774,1677,1359,1803,1334,2661,12626,
  Choa Chu Kang,111120,7809,13627,14344,14563,13038,10682,7598,6128,5104,3787,3255,2618,3802,4766,
  Clementi,47609,2962,5558,4702,4203,3911,3848,3182,2648,2293,2038,1925,1422,3153,5764,
  Downtown Core,1962,86,61,133,73,129,124,75,75,96,88,77,62,174,707,
  Geylang,61059,4374,9738,8060,7549,5681,4562,3488,2561,2191,2007,1953,1407,2836,4653,
  Hougang,127239,9273,18531,15877,16688,12827,10695,7873,5989,5649,4091,3577,2873,5396,7902,
  Jurong East,41926,2817,6424,5593,5364,4532,3688,2577,2393,1711,1374,1125,843,1465,2018,
  Jurong West,148785,10288,20539,20398,21789,17754,14433,10063,7255,6010,4563,3428,2323,4617,5326,
  Kallang,54919,4055,8341,6262,5652,4849,4168,2989,2753,2169,2016,2141,1213,2828,5483,
  Marine Parade,22128,1336,1867,1868,1956,1507,1558,1108,817,823,861,976,728,1473,5250,
  Novena,25168,1468,2621,2165,2100,1852,1799,1239,1138,1250,867,1032,594,1529,5514,
  Outram,9269,833,1656,1111,769,711,643,378,429,374,306,401,245,566,847,
  Pasir Ris,84726,5604,8239,9396,10370,8790,7826,5773,4549,3966,3592,3184,2385,4308,6743,
  Punggol,95536,5146,9897,9542,11021,10337,9577,7009,6845,5632,4402,3765,2587,5218,4558,
  Queenstown,48300,3010,6385,5076,4551,4081,3796,2883,2388,2367,1896,1731,1403,3292,5440,
  River Valley,5371,208,224,229,272,260,342,219,270,231,148,183,177,337,2272,
  Sembawang,59508,3791,6653,7743,8024,6915,5857,4614,3438,2850,2037,1754,1435,2237,2161,
  Sengkang,141414,8651,17230,15393,16130,15469,12751,11198,8471,7626,5497,5482,3875,6995,6648,
  Serangoon,63558,3740,7518,6247,6299,5600,5431,3878,3426,3052,2427,2490,1674,3627,8149,
  Tampines,144548,10239,19330,17248,19714,16078,12917,8953,7887,6103,4864,4045,3474,5856,7842,
  Tanglin,10205,344,335,383,487,383,612,387,427,487,325,501,326,809,4399,
  Toa Payoh,63554,4623,8866,7074,7174,5873,4725,4335,3212,2964,2652,2030,1689,3180,5156,
  Woodlands,138703,10550,20131,21026,19704,16449,12758,9353,6842,5611,4529,2660,2353,3944,2794,
  Yishun,122197,7834,17867,18736,16675,13441,11615,8184,6424,5009,3872,2973,2222,3320,4025,
  Others,16705,895,1800,1227,1263,1114,1217,1122,673,689,562,807,470,794,4072,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,
"Notes:
Planning areas refer to areas demarcated in the Urban Redevelopment Authority’s Master Plan 2019.
Income from work includes employer CPF contributions.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,
Date generated: 05/12/2024,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,
